Date,STOCKS,STOCKS_TR,BONDS,GOLD
1969-01-16,102.180000,112.740696,1.016838,42.350000
1969-01-17,102.030000,112.588702,1.017893,42.200000
1969-01-20,101.690000,112.227008,1.019763,42.200000
1969-01-21,101.630000,112.174239,1.018372,42.480000
1969-01-22,101.980000,112.573993,1.013725,42.530000
1969-01-23,102.430000,113.084230,1.014779,42.050000
1969-01-24,102.380000,113.042579,1.015833,42.100000
1969-01-27,102.400000,113.078208,1.014450,42.200000
1969-01-28,102.410000,113.102800,1.013070,42.430000
1969-01-29,102.510000,113.226794,1.010071,42.500000
1969-01-30,102.550000,113.284543,1.006275,42.550000
1969-01-31,103.010000,113.806268,1.002495,42.540000
1969-02-03,102.890000,113.687440,1.000335,42.430000
1969-02-04,102.920000,113.734323,1.002183,42.500000
1969-02-05,103.200000,114.057483,1.003231,42.730000
1969-02-06,103.540000,114.447033,1.002675,42.630000
1969-02-07,103.530000,114.449806,1.007734,42.530000
1969-02-11,103.650000,114.596289,1.011451,42.550000
1969-02-13,103.710000,114.676470,1.012505,42.580000
1969-02-14,103.610000,114.579749,1.011130,42.500000
1969-02-17,102.440000,113.299717,1.008948,42.650000
1969-02-18,101.400000,112.163153,1.007580,42.580000
1969-02-19,100.650000,111.347094,1.004602,42.650000
1969-02-20,99.790000,110.409145,1.002438,42.630000
1969-02-24,98.600000,109.105849,1.003735,42.700000
1969-02-25,97.980000,108.432969,1.002376,42.650000
1969-02-26,98.450000,108.966210,1.002625,42.700000
1969-02-27,98.140000,108.636261,1.000467,42.800000
1969-02-28,98.130000,108.638315,1.001516,42.700000
1969-03-03,98.380000,108.928545,1.002566,42.700000
1969-03-04,99.320000,109.982829,1.003617,42.850000
1969-03-05,99.710000,110.428323,1.003865,43.000000
1969-03-06,98.700000,109.323434,1.002508,43.250000
1969-03-07,98.650000,109.281595,1.001955,43.500000
1969-03-10,98.990000,109.671775,1.002204,43.830000
1969-03-11,99.320000,110.050971,1.000048,42.950000
1969-03-12,99.050000,109.765433,0.999498,42.850000
1969-03-13,98.390000,109.047631,0.998949,43.100000
1969-03-14,98.000000,108.628895,0.999998,43.000000
1969-03-17,98.250000,108.919467,0.997049,43.100000
1969-03-18,98.490000,109.199023,0.997300,43.000000
1969-03-19,99.210000,110.010838,0.999945,43.100000
1969-03-20,99.840000,110.723054,1.000995,43.200000
1969-03-21,99.630000,110.503879,1.002848,43.200000
1969-03-24,99.500000,110.373380,1.003900,43.350000
1969-03-25,99.660000,110.564539,1.002544,43.350000
1969-03-26,100.390000,111.388110,1.001191,43.430000
1969-03-27,101.100000,112.189693,1.000641,43.460000
1969-03-28,101.510000,112.658564,1.003294,43.230000
1969-04-01,101.420000,112.572405,1.007558,43.150000
1969-04-02,100.780000,111.875743,1.007808,43.250000
1969-04-03,100.680000,111.778363,1.007251,43.380000
